label,user_mentions,exc_count,quest_count,ellipsis_count,interjection_count,uppercase_count,rep_letter,tweet_score,positive_word,negative_word,polarity,noun_count,verb_count,intensifier_count,bi,tri,uni,emoji_score,emoji_tweet_flip,hashtag_score
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0.7184,2,0,0,2,0,0,1,1,0.8392,0,1,0
0,0,0,0,0,0,1,2,-0.9128,3,5,0,3,5,0,-1,-1,-1,0,1,0
0,1,0,0,0,0,0,2,0.4939,1,0,0,1,0,0,0.9878,0.9878,0.4939,0,1,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,-0.5859,1,2,0,1,2,0,-1,-1,-0.5875,0,1,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,0.3612,1,0,0,1,0,0,0.7224,1,0.3612,0,1,0
0,1,1,0,0,0,0,2,0.886,3,0,0,3,0,0,1,1,1,0,1,0
0,0,0,0,0,0,0,0,-0.7184,0,2,0,0,2,0,-1,-1,-0.8819,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,0,0,0,0,3,0.8519,3,0,0,3,0,0,1,1,1,0,1,0
0,0,0,0,0,0,1,0,0.6852,1,2,0,1,2,0,0.6938,0.5407,0.4838,0,1,0
0,0,0,1,0,0,0,0,0.3612,0,1,0,0,1,0,-0.3558,-0.5337,-0.1779,0.4939,1,0
0,0,0,0,1,0,1,1,-0.7982,4,2,0,4,2,0,-1,-1,-0.0841,0,1,0
0,0,0,0,0,0,0,3,-0.1531,1,1,0,1,1,0,-0.1192,0.3212,-0.1019,0,1,0
0,1,0,0,0,0,0,0,0.4404,1,0,0,1,0,0,0.8808,1,0.4404,0,1,0
0,0,0,0,0,0,1,0,0.4588,1,0,0,1,0,0,0.9176,1,0.4588,0,1,0
0,0,1,0,0,0,1,0,0.8402,2,0,0,2,0,0,1,1,1,0,1,0
0,0,0,0,0,0,0,2,0.2263,1,1,0,1,1,0,0.0466,-0.4301,0.0952,0.0772,0,0
0,0,0,0,1,0,1,5,-0.7096,1,2,0,1,2,0,-0.2776,0.0836,-0.6388,0,1,0
0,2,0,0,0,0,0,4,-0.0516,1,1,0,1,1,0,-0.176,-0.264,-0.088,0,1,0
0,0,0,0,0,0,1,0,0.1695,0,1,0,0,1,0,-0.4526,-0.6789,-0.2263,0,1,0
0,1,0,0,0,0,0,1,0.1027,2,1,0,2,1,0,0.0466,-0.4301,0.1275,0,1,0
0,0,0,0,0,0,1,3,0.765,3,2,0,3,2,0,0.32,-0.02,0.66,0,1,0
0,1,0,0,0,0,1,3,0.802,2,0,0,2,0,0,1,1,1,0,1,0
0,0,0,0,0,0,0,1,0.4215,1,0,0,1,0,0,0.843,0.843,0.4215,0,1,0
0,2,1,0,0,0,0,1,0.6249,1,0,0,1,0,0,1,1,0.6249,0,1,0
0,2,0,0,0,0,0,2,0.4215,1,0,0,1,0,0,0.843,0.843,0.4215,0,1,0
0,0,0,0,0,0,0,1,-0.5719,0,2,0,0,2,0,-1,-1,-0.5939,0,1,0
0,1,0,0,0,0,1,2,0.3612,1,1,0,1,1,0,0.4862,0.8747,0.2431,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,1,0.5936,1,0,0,1,0,0,1,1,0.5106,0,1,0
0,0,0,0,0,0,0,1,0.2411,0,0,0,0,0,0,0,0,0,-0.3182,1,0
0,0,1,0,0,0,0,1,0.7906,2,0,0,2,0,0,1,1,1,0,1,0
0,0,0,0,0,0,0,2,-0.34,0,1,0,0,1,0,-0.68,-1,-0.34,0,1,0
0,0,1,0,0,0,0,3,0.8393,3,1,0,3,1,0,1,1,1,0,1,0
0,1,0,0,0,0,12,0,0.7845,2,0,0,2,0,0,1,1,1,0,1,0
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0.6249,2,1,0,2,1,0,1,1,0.6173,0,1,0
0,2,0,0,0,0,3,3,0.5574,2,1,0,2,1,0,0.5474,0.3211,0.5858,0,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0.3818,1,0,0,1,0,0,0.7636,0.7636,0.3818,0,1,0
0,0,0,0,0,0,0,1,-0.5859,0,1,0,0,1,0,-1,-1,-0.5859,0,1,0
0,0,0,0,0,0,0,0,-0.4449,2,0,0,2,0,0,1,1,0.6364,0,1,0
0,0,0,0,0,0,1,1,-0.5423,0,1,0,0,1,0,-1,-1,-0.5423,0,1,0
0,0,1,0,0,0,0,0,0.3182,1,0,0,1,0,0,0.6364,0.6364,0.3182,0,1,0
0,0,0,0,0,0,0,1,0.5106,1,0,0,1,0,0,1,1,0.5106,0,1,0
